Year,Sex,Age,Location,Quantile,Units,Value
2018,,,,,PERCENT,14.35
2018,,,,,PERCENT,8.8
2018,,,,,PERCENT,2.55
2018,,,,,PERCENT,3.0
2018,,,,,PERCENT,17.4
2018,,,,,PERCENT,9.65
2018,,,,,PERCENT,7.0
2018,,,,,PERCENT,11.5
2018,,,,,PERCENT,7.5
2018,,,,,PERCENT,3.5
2018,,,,,PERCENT,3.45
2018,,,,,PERCENT,6.2
2018,,,,,PERCENT,24.0
2018,,,,,PERCENT,23.6
2018,,,,,PERCENT,43.3
2018,,,,,PERCENT,12.8
2018,,,,,PERCENT,9.2
2018,,,,,PERCENT,7.0
2018,,,,,PERCENT,16.15
2018,,,,,PERCENT,6.75
2018,,,,,PERCENT,5.25
2018,,,,,PERCENT,9.7
2018,,,,,PERCENT,9.8
2018,,,,,PERCENT,5.2
2018,BOTHSEX,,RURAL,,PERCENT,2.85
2018,BOTHSEX,,RURAL,,PERCENT,8.35
2018,BOTHSEX,,RURAL,,PERCENT,5.2
2018,BOTHSEX,,RURAL,,PERCENT,6.9
2018,BOTHSEX,,RURAL,,PERCENT,3.65
2018,BOTHSEX,,RURAL,,PERCENT,22.55
2018,BOTHSEX,,RURAL,,PERCENT,8.6
2018,BOTHSEX,,RURAL,,PERCENT,7.65
2018,BOTHSEX,,URBAN,,PERCENT,2.85
2018,BOTHSEX,,URBAN,,PERCENT,11.0
2018,BOTHSEX,,URBAN,,PERCENT,6.25
2018,BOTHSEX,,URBAN,,PERCENT,8.15
2018,BOTHSEX,,URBAN,,PERCENT,3.4
2018,BOTHSEX,,URBAN,,PERCENT,25.6
2018,BOTHSEX,,URBAN,,PERCENT,9.05
2018,BOTHSEX,,URBAN,,PERCENT,5.3
2018,FEMALE,,ALLAREA,,PERCENT,15.1
2018,FEMALE,,ALLAREA,,PERCENT,4.0
2018,FEMALE,,ALLAREA,,PERCENT,8.1
2018,FEMALE,,ALLAREA,,PERCENT,4.1
2018,FEMALE,,ALLAREA,,PERCENT,6.6
2018,FEMALE,,ALLAREA,,PERCENT,7.5
2018,FEMALE,,ALLAREA,,PERCENT,17.5
2018,FEMALE,,ALLAREA,,PERCENT,2.9
2018,FEMALE,,ALLAREA,,PERCENT,12.9
2018,FEMALE,,ALLAREA,,PERCENT,8.4
2018,FEMALE,,ALLAREA,,PERCENT,7.0
2018,FEMALE,,ALLAREA,,PERCENT,18.5
2018,FEMALE,,ALLAREA,,PERCENT,6.7
2018,FEMALE,,ALLAREA,,PERCENT,23.2
2018,FEMALE,,ALLAREA,,PERCENT,22.3
2018,FEMALE,,ALLAREA,,PERCENT,44.2
2018,FEMALE,,ALLAREA,,PERCENT,8.4
2018,FEMALE,,ALLAREA,,PERCENT,3.3
2018,FEMALE,,ALLAREA,,PERCENT,8.6
2018,FEMALE,,ALLAREA,,PERCENT,16.1
2018,FEMALE,,ALLAREA,,PERCENT,23.3
2018,FEMALE,,ALLAREA,,PERCENT,7.4
2018,FEMALE,,ALLAREA,,PERCENT,8.5
2018,FEMALE,,ALLAREA,,PERCENT,6.2
2018,FEMALE,,RURAL,,PERCENT,7.6
2018,FEMALE,,RURAL,,PERCENT,9.1
2018,FEMALE,,RURAL,,PERCENT,4.7
2018,FEMALE,,RURAL,,PERCENT,22.9
2018,FEMALE,,RURAL,,PERCENT,8.4
2018,FEMALE,,RURAL,,PERCENT,9.0
2018,FEMALE,,RURAL,,PERCENT,3.8
2018,FEMALE,,RURAL,,PERCENT,7.7
2018,FEMALE,,URBAN,,PERCENT,3.6
2018,FEMALE,,URBAN,,PERCENT,5.5
2018,FEMALE,,URBAN,,PERCENT,23.6
2018,FEMALE,,URBAN,,PERCENT,8.8
2018,FEMALE,,URBAN,,PERCENT,7.4
2018,FEMALE,,URBAN,,PERCENT,2.7
2018,FEMALE,,URBAN,,PERCENT,8.0
2018,FEMALE,,URBAN,,PERCENT,5.6
2018,MALE,,ALLAREA,,PERCENT,4.2
2018,MALE,,ALLAREA,,PERCENT,1.1
2018,MALE,,ALLAREA,,PERCENT,7.3
2018,MALE,,ALLAREA,,PERCENT,7.9
2018,MALE,,ALLAREA,,PERCENT,42.4
2018,MALE,,ALLAREA,,PERCENT,11.0
2018,MALE,,ALLAREA,,PERCENT,10.0
2018,MALE,,ALLAREA,,PERCENT,9.1
2018,MALE,,ALLAREA,,PERCENT,6.6
2018,MALE,,ALLAREA,,PERCENT,2.9
2018,MALE,,ALLAREA,,PERCENT,2.9
2018,MALE,,ALLAREA,,PERCENT,4.3
2018,MALE,,ALLAREA,,PERCENT,3.9
2018,MALE,,ALLAREA,,PERCENT,7.5
2018,MALE,,ALLAREA,,PERCENT,24.8
2018,MALE,,ALLAREA,,PERCENT,24.9
2018,MALE,,ALLAREA,,PERCENT,2.2
2018,MALE,,ALLAREA,,PERCENT,15.8
2018,MALE,,ALLAREA,,PERCENT,3.3
2018,MALE,,ALLAREA,,PERCENT,16.2
2018,MALE,,ALLAREA,,PERCENT,8.1
2018,MALE,,ALLAREA,,PERCENT,6.5
2018,MALE,,ALLAREA,,PERCENT,11.5
2018,MALE,,ALLAREA,,PERCENT,10.7
2018,MALE,,RURAL,,PERCENT,2.7
2018,MALE,,RURAL,,PERCENT,6.2
2018,MALE,,RURAL,,PERCENT,8.1
2018,MALE,,RURAL,,PERCENT,2.6
2018,MALE,,RURAL,,PERCENT,22.2
2018,MALE,,RURAL,,PERCENT,1.9
2018,MALE,,RURAL,,PERCENT,6.3
2018,MALE,,RURAL,,PERCENT,8.3
2018,MALE,,URBAN,,PERCENT,6.9
2018,MALE,,URBAN,,PERCENT,13.2
2018,MALE,,URBAN,,PERCENT,3.2
2018,MALE,,URBAN,,PERCENT,5.1
2018,MALE,,URBAN,,PERCENT,8.9
2018,MALE,,URBAN,,PERCENT,27.6
2018,MALE,,URBAN,,PERCENT,3.0
2018,MALE,,URBAN,,PERCENT,10.1
