Year;Sex;Age;Location;Units;Value
2010;;;;TEU;46042
2011;;;;TEU;60237
2012;;;;TEU;81192
2013;;;;TEU;66896
2014;;;;TEU;101254
2015;;;;TEU;47710
2016;;;;TEU;44513
2017;;;;T_KM;228606
2017;;;;P_KM;1344194936
2017;;;;TEU;49349
2018;;;;T_KM;3679994569
2018;;;;T_KM;3989826986
2018;;;;T_KM;21428485
2018;;;;T_KM;915105
2018;;;;P_KM;72063733347
2018;;;;P_KM;658262689
2018;;;;P_KM;18450953
2018;;;;TEU;51238
2019;;;;T_KM;751200
2019;;;;T_KM;34253200000
2019;;;;T_KM;87200000
2019;;;;T_KM;12737600000
2019;;;;P_KM;1,07E+11
2019;;;;P_KM;4809000000
2019;;;;P_KM;629068126
2019;;;;TEU;27954
2020;;;;T_KM;962587
2020;;;;T_KM;32745000000
2020;;;;T_KM;84000000
2020;;;;T_KM;11933000000
2020;;;;P_KM;292485965
2020;;;;P_KM;14000000
2020;;;;P_KM;80261000000
2020;;;;TEU;75322
Nombre de passagers transportés;;;;;
2010;;;;;1.610923
2011;;;;;1.739779
2012;;;;;1.82615
2013;;;;;1.750201
2014;;;;;1.751842
2015;;;;;1.769164
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Nombre de passagers par voie aérienne;;;;;
2010;;;;;1.610923
2011;;;;;1.693777
2012;;;;;1.78527
2013;;;;;1.701619
2014;;;;;1.751842
2015;;;;;1.769164
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Nombre de passagers par voie terrestre;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Nombre de passagers par voie lacustre;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Nombre de passagers par voie fluviale;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Nombre de passagers par chemin de fer;;;;;
2010;;;;;
2011;;;;;0.05
2012;;;;;0.04
2013;;;;;0.05
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transporté;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transportés, par voie aérienne;;;;;
2010;;;;;0.21
2011;;;;;0.18
2012;;;;;0.17
2013;;;;;0.19
2014;;;;;0.16
2015;;;;;0.15
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transportés, par voie terrrestre;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transportés, par voie lacustre;;;;;
2010;;;;;0.04
2011;;;;;0.04
2012;;;;;0.04
2013;;;;;0.06
2014;;;;;0.03
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transportés, par voie fluviale;;;;;
2010;;;;;2.6
2011;;;;;3.09
2012;;;;;3.12
2013;;;;;3.1
2014;;;;;3.29
2015;;;;;3.29
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
Volume de fret transportés, par chemin de fer;;;;;
2010;;;;;
2011;;;;;0.64
2012;;;;;0.61
2013;;;;;0.53
2014;;;;;
2015;;;;;
2016;;;;;
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;
