Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PERCENT,34
2000,,,,,PERCENT,24
2000,,,RURAL,,PERCENT,16
2000,,,RURAL,,PERCENT,24
2000,,,URBAN,,PERCENT,66
2000,,,URBAN,,PERCENT,25
2001,,,,,PERCENT,34
2001,,,,,PERCENT,24
2001,,,RURAL,,PERCENT,17
2001,,,RURAL,,PERCENT,23
2001,,,URBAN,,PERCENT,66
2001,,,URBAN,,PERCENT,24
2002,,,,,PERCENT,35
2002,,,,,PERCENT,23
2002,,,RURAL,,PERCENT,17
2002,,,RURAL,,PERCENT,23
2002,,,URBAN,,PERCENT,67
2002,,,URBAN,,PERCENT,24
2003,,,,,PERCENT,35
2003,,,,,PERCENT,23
2003,,,RURAL,,PERCENT,17
2003,,,RURAL,,PERCENT,22
2003,,,URBAN,,PERCENT,67
2003,,,URBAN,,PERCENT,24
2004,,,,,PERCENT,36
2004,,,,,PERCENT,22
2004,,,RURAL,,PERCENT,17
2004,,,RURAL,,PERCENT,21
2004,,,URBAN,,PERCENT,68
2004,,,URBAN,,PERCENT,24
2005,,,,,PERCENT,37
2005,,,,,PERCENT,22
2005,,,RURAL,,PERCENT,18
2005,,,RURAL,,PERCENT,21
2005,,,URBAN,,PERCENT,68
2005,,,URBAN,,PERCENT,24
2006,,,,,PERCENT,37
2006,,,,,PERCENT,22
2006,,,RURAL,,PERCENT,18
2006,,,RURAL,,PERCENT,20
2006,,,URBAN,,PERCENT,68
2006,,,URBAN,,PERCENT,24
2007,,,,,PERCENT,38
2007,,,,,PERCENT,21
2007,,,RURAL,,PERCENT,18
2007,,,RURAL,,PERCENT,19
2007,,,URBAN,,PERCENT,69
2007,,,URBAN,,PERCENT,24
2008,,,,,PERCENT,38
2008,,,,,PERCENT,21
2008,,,RURAL,,PERCENT,19
2008,,,RURAL,,PERCENT,19
2008,,,URBAN,,PERCENT,69
2008,,,URBAN,,PERCENT,23
2009,,,,,PERCENT,39
2009,,,,,PERCENT,20
2009,,,RURAL,,PERCENT,19
2009,,,RURAL,,PERCENT,18
2009,,,URBAN,,PERCENT,70
2009,,,URBAN,,PERCENT,23
2010,,,,,PERCENT,40
2010,,,,,PERCENT,20
2010,,,RURAL,,PERCENT,19
2010,,,RURAL,,PERCENT,18
2010,,,URBAN,,PERCENT,70
2010,,,URBAN,,PERCENT,23
2011,,,,,PERCENT,40
2011,,,,,PERCENT,19
2011,,,RURAL,,PERCENT,20
2011,,,RURAL,,PERCENT,17
2011,,,URBAN,,PERCENT,71
2011,,,URBAN,,PERCENT,23
2012,,,,,PERCENT,41
2012,,,,,PERCENT,19
2012,,,RURAL,,PERCENT,20
2012,,,RURAL,,PERCENT,16
2012,,,URBAN,,PERCENT,71
2012,,,URBAN,,PERCENT,22
2013,,,,,PERCENT,41
2013,,,,,PERCENT,18
2013,,,RURAL,,PERCENT,20
2013,,,RURAL,,PERCENT,16
2013,,,URBAN,,PERCENT,71
2013,,,URBAN,,PERCENT,22
2014,,,,,PERCENT,42
2014,,,,,PERCENT,18
2014,,,RURAL,,PERCENT,20
2014,,,RURAL,,PERCENT,15
2014,,,URBAN,,PERCENT,72
2014,,,URBAN,,PERCENT,22
2015,,,,,PERCENT,43
2015,,,,,PERCENT,17
2015,,,RURAL,,PERCENT,21
2015,,,RURAL,,PERCENT,14
2015,,,URBAN,,PERCENT,72
2015,,,URBAN,,PERCENT,22
2016,,,,,PERCENT,43
2016,,,,,PERCENT,17
2016,,,RURAL,,PERCENT,21
2016,,,RURAL,,PERCENT,14
2016,,,URBAN,,PERCENT,73
2016,,,URBAN,,PERCENT,21
2017,,,,,PERCENT,44
2017,,,,,PERCENT,17
2017,,,RURAL,,PERCENT,21
2017,,,RURAL,,PERCENT,13
2017,,,URBAN,,PERCENT,73
2017,,,URBAN,,PERCENT,21
2018,,,,,PERCENT,45
2018,,,,,PERCENT,16
2018,,,RURAL,,PERCENT,21
2018,,,RURAL,,PERCENT,12
2018,,,URBAN,,PERCENT,74
2018,,,URBAN,,PERCENT,21
2019,,,,,PERCENT,45
2019,,,,,PERCENT,16
2019,,,RURAL,,PERCENT,22
2019,,,RURAL,,PERCENT,12
2019,,,URBAN,,PERCENT,74
2019,,,URBAN,,PERCENT,21
2020,,,,,PERCENT,46
2020,,,,,PERCENT,15
2020,,,RURAL,,PERCENT,22
2020,,,RURAL,,PERCENT,11
2020,,,URBAN,,PERCENT,75
2020,,,URBAN,,PERCENT,20
