Year;Sex;Age;Location;Units;Value
2018;;;;PERCENT;80
Milieu de résidence;;;;;
2020;;;RDC;PERCENT;5.2
2020;;;KINSHASA;PERCENT;7.4
2020;MALE;;;PERCENT;5.8
2020;FEMALE;;;PERCENT;4.8
2020;;;AUTRES URBAINS;PERCENT;5.3
2020;;;ENS URBAIN;PERCENT;6.2
2020;;;RURAL;PERCENT;4.7
;;;;;
Niveau d'instruction;;;;;
2020;;;NON SCOLARISE;PERCENT;5.3
2020;;;PRIMAIRE;PERCENT;4.6
2020;;;SECONDAIRE;PERCENT;5.2
2020;;;SUPERIEUR;PERCENT;6.0
;;;;;
Groupe Socioéconomique du CM;;;;;
2020;;;SALARIE DU SECTEUR PUBLIC;PERCENT;8.8
2020;;;SALARIE DU SECTEUR PRIVE FORMEL;PERCENT;10.4
2020;;;SALARIE DU SECTEUR PRIVE INFORMEL;PERCENT;8.9
2020;;;INDEPENDANT;PERCENT;4.5
2020;;;AIDE FAMILIAL,APPRENTI OU STAGIAIRE;PERCENT;7.1
2020;;;CHOMEUR;PERCENT;4.4
2020;;;MAIN D'ŒUVRE POTENTIELLE;PERCENT;2.5
2020;;;INACTIF;PERCENT;4.8
