Year;Sex;Age;Location;Units;Value
2000;;;;PERCENT;1.32258
2000;;;;CUR_LCU_M;17419.403
2001;;;;PERCENT;6.65715
2001;;;;CUR_LCU_M;148551.292
2002;;;;PERCENT;9.822
2002;;;;CUR_LCU_M;297200.978
2003;;;;PERCENT;12.28801
2003;;;;CUR_LCU_M;445225.39
2004;;;;PERCENT;13.03767
2004;;;;CUR_LCU_M;536321.997
2005;;;;PERCENT;20.09193
2005;;;;CUR_LCU_M;1139225.21
2006;;;;PERCENT;17.97149
2006;;;;CUR_LCU_M;1216224.246
2007;;;;PERCENT;17.61796
2007;;;;CUR_LCU_M;1523756.104
2008;;;;PERCENT;19.1422
2008;;;;CUR_LCU_M;2118576.416
2009;;;;PERCENT;20.75705
2009;;;;CUR_LCU_M;3134561.637
2010;;;;PERCENT;20.65321
2010;;;;CUR_LCU_M;4034950
2012;;;;PERCENT;18.87322
2012;;;;CUR_LCU_M;5087193.16279
2013;;;;PERCENT;17.31497
2013;;;;CUR_LCU_M;5203352.34785
2014;;;;PERCENT;16.20437
2014;;;;CUR_LCU_M;5383739.49853
2015;;;;PERCENT;15.43503
2015;;;;CUR_LCU_M;5419429.20603
2016;;;;PERCENT;13.07035
2016;;;;CUR_LCU_M;4903654.58929
2017;;;;PERCENT;9.52259
2017;;;;CUR_LCU_M;5301807.12052
2018;;;;PERCENT;11.11693
2018;;;;CUR_LCU_M;8503953.05827
2019;;;;PERCENT;11.18713
2019;;;;CUR_LCU_M;9290725.86871
