Year,Sex,Age,Location,Units,Value
2004,FEMALE,,,PERCENT,12.00
2004,FEMALE,,,NUMBER,60
2005,FEMALE,,,PERCENT,12.00
2005,FEMALE,,,NUMBER,60
2006,FEMALE,,,PERCENT,12.00
2006,FEMALE,,,NUMBER,60
2007,FEMALE,,,PERCENT,8.40
2007,FEMALE,,,NUMBER,42
2008,FEMALE,,,PERCENT,8.40
2008,FEMALE,,,NUMBER,42
2009,FEMALE,,,PERCENT,8.40
2009,FEMALE,,,NUMBER,42
2010,FEMALE,,,PERCENT,8.40
2010,FEMALE,,,NUMBER,42
2011,FEMALE,,,PERCENT,8.40
2011,FEMALE,,,NUMBER,42
2012,FEMALE,,,PERCENT,8.94
2012,FEMALE,,,NUMBER,44
2013,FEMALE,,,PERCENT,8.94
2013,FEMALE,,,NUMBER,44
2014,FEMALE,,,PERCENT,10.64
2014,FEMALE,,,NUMBER,53
2015,FEMALE,,,PERCENT,8.94
2015,FEMALE,,,NUMBER,44
2016,FEMALE,,,PERCENT,8.94
2016,FEMALE,,,NUMBER,44
2017,FEMALE,,,PERCENT,8.94
2017,FEMALE,,,NUMBER,44
2018,FEMALE,,,PERCENT,8.94
2018,FEMALE,,,NUMBER,44
2019,FEMALE,,,PERCENT,10.31
2019,FEMALE,,,NUMBER,50
2020,FEMALE,,,PERCENT,12.80
2020,FEMALE,,,NUMBER,64
2021,,,,NUMBER,500
2021,FEMALE,,,PERCENT,12.8
2021,FEMALE,,,NUMBER,64
2022,,,,NUMBER,500
2022,FEMALE,,,PERCENT,12.8
2022,FEMALE,,,NUMBER,64
