Year;Sex;Age;Location;Units;Value
2005;;;;PERCENT;99.6
2005;;;;PERCENT;96.3
2005;;;;PERCENT;98.6
2005;FEMALE;;;PERCENT;99.7
2005;FEMALE;;;PERCENT;97.9
2005;FEMALE;;;PERCENT;99.3
2005;MALE;;;PERCENT;95.3
2005;MALE;;;PERCENT;99.4
2005;MALE;;;PERCENT;97.9
2012;;;;PERCENT;97.3
2012;;;;PERCENT;93.9
2012;;;;PERCENT;99.4
2012;FEMALE;;;PERCENT;98.7
2012;FEMALE;;;PERCENT;96.3
2012;FEMALE;;;PERCENT;99.7
2012;MALE;;;PERCENT;92.4
2012;MALE;;;PERCENT;96
2012;MALE;;;PERCENT;99.2
;;;;;
;;;;;
;;;;;
2020;MALE;;;;87.7
2020;FEMALE;;;;94.4
2020;;;RDC;PERCENT;92.8
2020;;;KINSHASA;PERCENT;76.0
2020;;;KONGO CENTRAL;PERCENT;96.5
2020;;;KWANGO;PERCENT;96.3
2020;;;KWILU;PERCENT;97.8
2020;;;MAI-NDOMBE;PERCENT;91.1
2020;;;EQUATEUR;PERCENT;94.7
2020;;;NORD UBANGI;PERCENT;87.1
2020;;;SUD UBANGI;PERCENT;94.8
2020;;;MONGALA;PERCENT;88.1
2020;;;TSHUAPA;PERCENT;94/4
2020;;;TSHOPO;PERCENT;97.3
2020;;;BAS UELE;PERCENT;98.9
2020;;;HAUT UELE;PERCENT;96.8
2020;;;ITURI;PERCENT;95.5
2020;;;NORD KIVU;PERCENT;97.1
2020;;;SUD KIVU;PERCENT;94.3
2020;;;MANIEMA;PERCENT;94.8
2020;;;HAUT KATANGA;PERCENT;91.7
2020;;;HAUT LOMAMI;PERCENT;98.4
2020;;;LUALABA;PERCENT;92.4
2020;;;TANGANYIKA;PERCENT;97.4
2020;;;LOMAMI;PERCENT;98.3
2020;;;SANKURU;PERCENT;97.6
2020;;;KASAÏ ORIENTAL;PERCENT;96.7
2020;;;KASAÏ ;PERCENT;97.4
2020;;;KASAÏ CENTRAL;PERCENT;81.0
2020;;;AUTRES URBAINS;PERCENT;84.5
2020;;;ENS URBAIN;PERCENT;79.0
2020;;;RURAL;PERCENT;95.5
