Year;Sex;Age;Location;Units;Value
2000;;;;PER_100000_POP;782.907
2001;;;;PER_100000_POP;803.229
2002;;;;PER_100000_POP;837.8
2003;;;;PER_100000_POP;874.081
2004;;;;PER_100000_POP;863.4
2005;;;;PER_100000_POP;780.413
2006;;;;PER_100000_POP;705.35
2007;;;;PER_100000_POP;629.628
2008;;;;PER_100000_POP;605.456
2009;;;;PER_100000_POP;724.674
2010;;;;PER_100000_POP;732.914
2011;;;;PER_100000_POP;730.847
2012;;;;PER_100000_POP;732.453
2013;;;;PER_100000_POP;695.188
2014;;;;PER_100000_POP;695.659
2015;;;;PER_100000_POP;705.19
2016;;;;PER_100000_POP;677.546
2017;;;;PER_100000_POP;756.899
2018;;;;PER_100000_POP;849.529
2019;;;;PER_100000_POP;916.705
2020;;;;PER_100000_POP;929.681
2021;;;;PER_100000_POP;927.16308
