Year;Sex;Age;Location;Units;Value
2019;;;;SCORE;1
2020;;;;SCORE;1
2021;;;;SCORE;1
;;;;;
Dépenses publiques totales consacrées aux programmes de protection sociale en % du budget national;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;0.29
2015;;;;;0.33
2016;;;;;
2017;;;;;1.7
2018;;;;;1.11
2019;;;;;
2020;;;;;1.31
;;;;;
Dépenses publiques totales consacrées aux programmes de protection sociale en % du PIB;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;0.04 
2015;;;;;0.55 
2016;;;;;
2017;;;;;0.04
2018;;;;;
2019;;;;;
2020;;;;;0.11
;;;;;
Dépenses publiques totales consacrées aux programmes d'emploi en % du budget national;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;0.11 
2015;;;;;0.13 
2016;;;;;
2017;;;;;0.17
2018;;;;;0.19
2019;;;;;
2020;;;;;0.19
Dépenses publiques totales consacrées aux programmes d'emploi en % du PIB;;;;;
2010;;;;;
2011;;;;;
2012;;;;;
2013;;;;;
2014;;;;;0.02 
2015;;;;;0.023 
2016;;;;;
2017;;;;;0.02
2018;;;;;
2019;;;;;
2020;;;;;0.02
