Year;Sex;Age;Location;Units;Value;
2000;;;;PERCENT;-9.3;
2001;;;;PERCENT;-4.7;
2002;;;;PERCENT;0;
2003;;;;PERCENT;2.5;
2004;;;;PERCENT;3.5;
2005;;;;PERCENT;2.8;
2006;;;;PERCENT;3.8;
2007;;;;PERCENT;4.6;
2008;;;;PERCENT;4.5;
2009;;;;PERCENT;1.2;
2010;;;;PERCENT;5.3;5.7
2011;;;;PERCENT;5.3;5.8
2012;;;;PERCENT;5.5;5.8
2013;;;;PERCENT;5;5
2014;;;;PERCENT;5.9;5.7
2015;;;;PERCENT;3.4;3.4
2016;;;;PERCENT;-0.9;-0.8
2017;;;;PERCENT;0.3;0.1
2018;;;;PERCENT;2.3;0.5
2019;;;;PERCENT;0.9;1
2020;;;;PERCENT;-0.2;1.5
2021;;;;PERCENT;1.1;
