Year;Sex;Age;Location;Units;Value
2010;;;;PERCENT;9.5785
2013;;;;PERCENT;16.17474
2014;;;;PERCENT;10.55392
2015;;;;PERCENT;11.73837
2016;;;;PERCENT;14.63542
2017;;;;PERCENT;14.00766
2018;;;;PERCENT;
2019;;;;PERCENT;
2020;;;;PERCENT;
2021;;;;PERCENT;
;;;;;
PROPORTION DES DEPENSES PUBLIQUES AFFECTEES AUX SERVICES ESSENTIELS (EDUCATION,SANTE ET PROTECTION SOCIALE);;;;;
;;;;;
2010;;;;PERCENT;
2011;;;;PERCENT;
2012;;;;PERCENT;
2013;;;;PERCENT;18.8
2014;;;;PERCENT;18.2
2015;;;;PERCENT;19.2
2016;;;;PERCENT;25.12
2017;;;;PERCENT;23.50
2018;;;;PERCENT;25.17
2019;;;;PERCENT;
2020;;;;PERCENT;38.50
2021;;;;PERCENT;29.71
;;;;;
;;;EDUCATION;;
2010;;;;PERCENT;5.10
2011;;;;PERCENT;7.40
2012;;;;PERCENT;10.95
2013;;;;PERCENT;13.2
2014;;;;PERCENT;13.6
2015;;;;PERCENT;14.3
2016;;;;PERCENT;17.2
2017;;;;PERCENT;13.7
2018;;;;PERCENT;17.02
2019;;;;PERCENT;
2020;;;;PERCENT;28.36
2021;;;;PERCENT;20.72
;;;;;
;;;SANTE;;
2010;;;;PERCENT;4.40
2011;;;;PERCENT;1.40
2012;;;;PERCENT;4.65
2013;;;;PERCENT;5.60
2014;;;;PERCENT;4.60
2015;;;;PERCENT;4.90
2016;;;;PERCENT;6.9
2017;;;;PERCENT;8.1
2018;;;;PERCENT;7.4
2019;;;;PERCENT;
2020;;;;PERCENT;8.82
2021;;;;PERCENT;7.76
;;;;;
PROTECTION SOCIALE;;;;;
2011;;;;PERCENT;0.28
2014;;;;PERCENT;0.29
2015;;;;PERCENT;0.33
2016;;;;PERCENT;1.015
2017;;;;PERCENT;1.7
2018;;;;PERCENT;1.11
2019;;;;PERCENT;
2020;;;;PERCENT;1.31
2021;;;;PERCENT;1.23
