Year,Sex,Age,Location,Units,Value
2000,,,,MJ_PER_GDP_CON_PPP_USD,16.45
2001,,,,MJ_PER_GDP_CON_PPP_USD,17.37
2002,,,,MJ_PER_GDP_CON_PPP_USD,17.46
2003,,,,MJ_PER_GDP_CON_PPP_USD,17.15
2004,,,,MJ_PER_GDP_CON_PPP_USD,16.71
2005,,,,MJ_PER_GDP_CON_PPP_USD,16.35
2006,,,,MJ_PER_GDP_CON_PPP_USD,16.12
2007,,,,MJ_PER_GDP_CON_PPP_USD,15.72
2008,,,,MJ_PER_GDP_CON_PPP_USD,15.35
2009,,,,MJ_PER_GDP_CON_PPP_USD,15.37
2010,,,,MJ_PER_GDP_CON_PPP_USD,14.88
2011,,,,MJ_PER_GDP_CON_PPP_USD,14.77
2012,,,,MJ_PER_GDP_CON_PPP_USD,17.04
2013,,,,MJ_PER_GDP_CON_PPP_USD,16.51
2014,,,,MJ_PER_GDP_CON_PPP_USD,15.83
2015,,,,MJ_PER_GDP_CON_PPP_USD,14.89
2016,,,,MJ_PER_GDP_CON_PPP_USD,14.91
2017,,,,MJ_PER_GDP_CON_PPP_USD,14.45
2018,,,,MJ_PER_GDP_CON_PPP_USD,13.82
2019,,,,MJ_PER_GDP_CON_PPP_USD,13.29
