Year,Sex,Age,Location,Units,Value
2000,FEMALE,15-49,,PERCENT,52.7
2000,FEMALE,15-49,,PERCENT,52.5
2000,FEMALE,15-49,,PERCENT,54.1
2001,FEMALE,15-49,,PERCENT,52.5
2001,FEMALE,15-49,,PERCENT,52.3
2001,FEMALE,15-49,,PERCENT,54.1
2002,FEMALE,15-49,,PERCENT,52.4
2002,FEMALE,15-49,,PERCENT,52.2
2002,FEMALE,15-49,,PERCENT,54.2
2003,FEMALE,15-49,,PERCENT,52.2
2003,FEMALE,15-49,,PERCENT,51.9
2003,FEMALE,15-49,,PERCENT,54.2
2004,FEMALE,15-49,,PERCENT,51.9
2004,FEMALE,15-49,,PERCENT,51.6
2004,FEMALE,15-49,,PERCENT,54.1
2005,FEMALE,15-49,,PERCENT,51.5
2005,FEMALE,15-49,,PERCENT,51.1
2005,FEMALE,15-49,,PERCENT,53.9
2006,FEMALE,15-49,,PERCENT,51.0
2006,FEMALE,15-49,,PERCENT,50.6
2006,FEMALE,15-49,,PERCENT,53.7
2007,FEMALE,15-49,,PERCENT,50.5
2007,FEMALE,15-49,,PERCENT,50.1
2007,FEMALE,15-49,,PERCENT,53.4
2008,FEMALE,15-49,,PERCENT,49.8
2008,FEMALE,15-49,,PERCENT,49.3
2008,FEMALE,15-49,,PERCENT,53.0
2009,FEMALE,15-49,,PERCENT,48.9
2009,FEMALE,15-49,,PERCENT,48.4
2009,FEMALE,15-49,,PERCENT,52.5
2010,FEMALE,15-49,,PERCENT,48.1
2010,FEMALE,15-49,,PERCENT,47.5
2010,FEMALE,15-49,,PERCENT,51.9
2011,FEMALE,15-49,,PERCENT,47.2
2011,FEMALE,15-49,,PERCENT,46.6
2011,FEMALE,15-49,,PERCENT,51.3
2012,FEMALE,15-49,,PERCENT,46.4
2012,FEMALE,15-49,,PERCENT,45.8
2012,FEMALE,15-49,,PERCENT,50.7
2013,FEMALE,15-49,,PERCENT,45.5
2013,FEMALE,15-49,,PERCENT,44.9
2013,FEMALE,15-49,,PERCENT,50.0
2014,FEMALE,15-49,,PERCENT,44.8
2014,FEMALE,15-49,,PERCENT,44.1
2014,FEMALE,15-49,,PERCENT,49.3
2015,FEMALE,15-49,,PERCENT,44.1
2015,FEMALE,15-49,,PERCENT,43.4
2015,FEMALE,15-49,,PERCENT,48.6
2016,FEMALE,15-49,,PERCENT,43.5
2016,FEMALE,15-49,,PERCENT,42.9
2016,FEMALE,15-49,,PERCENT,48.1
2017,FEMALE,15-49,,PERCENT,43.0
2017,FEMALE,15-49,,PERCENT,42.4
2017,FEMALE,15-49,,PERCENT,47.5
2018,FEMALE,15-49,,PERCENT,42.6
2018,FEMALE,15-49,,PERCENT,42.1
2018,FEMALE,15-49,,PERCENT,46.9
2019,FEMALE,15-49,,PERCENT,42.4
2019,FEMALE,15-49,,PERCENT,41.9
2019,FEMALE,15-49,,PERCENT,46.5
