Year;Sex;Age;Location;Units;Value
2000;;;;PERCENT;0.13
2000;;;;PERCENT;0.02
2000;;;;PERCENT;0.04
2000;;;;PERCENT;0.19386
2001;;;;PERCENT;0.04
2001;;;;PERCENT;0.13
2001;;;;PERCENT;0.02
2001;;;;PERCENT;0.20046
2002;;;;PERCENT;0.04
2002;;;;PERCENT;0.02
2002;;;;PERCENT;0.14
2002;;;;PERCENT;0.20707
2003;;;;PERCENT;0.05
2003;;;;PERCENT;0.21367
2003;;;;PERCENT;0.02
2003;;;;PERCENT;0.14
2004;;;;PERCENT;0.15
2004;;;;PERCENT;0.02
2004;;;;PERCENT;0.22028
2004;;;;PERCENT;0.05
2005;;;;PERCENT;0.05
2005;;;;PERCENT;0.02
2005;;;;PERCENT;0.15
2005;;;;PERCENT;0.22688
2006;;;;PERCENT;0.05
2006;;;;PERCENT;0.02
2006;;;;PERCENT;0.22688
2006;;;;PERCENT;0.15
2007;;;;PERCENT;0.05
2007;;;;PERCENT;0.02
2007;;;;PERCENT;0.15
2007;;;;PERCENT;0.22688
2008;;;;PERCENT;0.02
2008;;;;PERCENT;0.05
2008;;;;PERCENT;0.15
2008;;;;PERCENT;0.22688
2009;;;;PERCENT;0.05
2009;;;;PERCENT;0.15
2009;;;;PERCENT;0.22688
2009;;;;PERCENT;0.02
2010;;;;PERCENT;0.05
2010;;;;PERCENT;0.15
2010;;;;PERCENT;0.02
2010;;;;PERCENT;0.22688
2011;;;;PERCENT;0.02
2011;;;;PERCENT;0.05
2011;;;;PERCENT;0.15
2011;;;;PERCENT;0.22688
2012;;;;PERCENT;0.05
2012;;;;PERCENT;0.15
2012;;;;PERCENT;0.02
2012;;;;PERCENT;0.22688
2013;;;;PERCENT;0.05
2013;;;;PERCENT;0.22688
2013;;;;PERCENT;0.02
2013;;;;PERCENT;0.15
2014;;;;PERCENT;0.02
2014;;;;PERCENT;0.05
2014;;;;PERCENT;0.22688
2014;;;;PERCENT;0.15
2015;;;;PERCENT;0.02
2015;;;;PERCENT;0.15
2015;;;;PERCENT;0.22688
2015;;;;PERCENT;0.05
2016;;;;PERCENT;0.05
2016;;;;PERCENT;0.02
2016;;;;PERCENT;0.15
2016;;;;PERCENT;0.22688
2017;;;;PERCENT;0.05
2017;;;;PERCENT;0.22688
2017;;;;PERCENT;0.15
2017;;;;PERCENT;0.02
2018;;;;PERCENT;0.15
2018;;;;PERCENT;0.02
2018;;;;PERCENT;0.05
2018;;;;PERCENT;0.22688
2019;;;;PERCENT;0.05
2019;;;;PERCENT;0.02
2019;;;;PERCENT;0.15
2019;;;;PERCENT;0.22688
