Year,Sex,Age,Location,Units,Value
2000,,<5Y,,NUM_TH,4143.8
2001,,<5Y,,PER_POP_U5,44.4
2001,,<5Y,,NUM_TH,4245.9
2002,,<5Y,,NUM_TH,4354.0
2003,,<5Y,,NUM_TH,4460.5
2004,,<5Y,,NUM_TH,4562.1
2005,,<5Y,,NUM_TH,4671.8
2006,,<5Y,,NUM_TH,4798.5
2007,,<5Y,,PER_POP_U5,45.8
2007,,<5Y,,NUM_TH,4907.2
2008,,<5Y,,NUM_TH,5019.6
2009,,<5Y,,NUM_TH,5150.0
2010,,<5Y,,PER_POP_U5,43.4
2010,,<5Y,,NUM_TH,5285.2
2011,,<5Y,,NUM_TH,5422.5
2012,,<5Y,,NUM_TH,5547.6
2013,,<5Y,,PER_POP_U5,42.7
2013,,<5Y,,NUM_TH,5658.6
2014,,<5Y,,NUM_TH,5761.8
2015,,<5Y,,NUM_TH,5879.8
2016,,<5Y,,NUM_TH,6041.1
2017,,<5Y,,PER_POP_U5,41.8
2017,,<5Y,,NUM_TH,6187.0
2018,,<5Y,,NUM_TH,6297.4
2019,,<5Y,,NUM_TH,6384.2
2020,,<5Y,,NUM_TH,6453.5
