Year,Sex,Age,Location,Units,Value
2010,,,,INDEX,NaN
2011,,,,INDEX,-1.793
2012,,,,INDEX,-0.518
2013,,,,INDEX,-0.162
2014,,,,INDEX,-0.108
2015,,,,INDEX,-0.085
2015,,,,INDEX,0.8
2015,,,,INDEX,NaN
2015,,,,INDEX,-1.5
2015,,,,INDEX,NaN
2015,,,,INDEX,-0.9
2016,,,,INDEX,-0.188
2016,,,,INDEX,NaN
2016,,,,INDEX,NaN
2016,,,,INDEX,0.2
2016,,,,INDEX,NaN
2016,,,,INDEX,0.1
2017,,,,INDEX,-3.392
2017,,,,INDEX,NaN
2017,,,,INDEX,NaN
2017,,,,INDEX,-0.8
2017,,,,INDEX,NaN
2017,,,,INDEX,0.4
2018,,,,INDEX,-2.396
2018,,,,INDEX,NaN
2018,,,,INDEX,NaN
2018,,,,INDEX,0.5
2018,,,,INDEX,NaN
2018,,,,INDEX,-0.9
2019,,,,INDEX,-0.453
2019,,,,INDEX,-0.4
2019,,,,INDEX,NaN
2019,,,,INDEX,0.4
2019,,,,INDEX,NaN
2019,,,,INDEX,NaN
2020,,,,INDEX,0.136
2020,,,,INDEX,NaN
2020,,,,INDEX,NaN
2020,,,,INDEX,NaN
2020,,,,INDEX,NaN
2020,,,,INDEX,NaN
2021,,,,INDEX,NaN
2021,,,,INDEX,NaN
2021,,,,INDEX,NaN
2021,,,,INDEX,NaN
2021,,,,INDEX,NaN
2021,,,,INDEX,NaN
