Year;Sex;Age;Location;Units;Value
2005;FEMALE;;;PERCENT;8.02
2005;FEMALE;;;PERCENT;5.5
2012;FEMALE;;;PERCENT;20.18
;;;;;
Proportion de femmes occupant des postes de direction;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;
2013;FEMALE;;;PERCENT;
2014;FEMALE;;;PERCENT;30,00
2015;FEMALE;;;PERCENT;
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;11,90
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;11,90
;;;;;
Proportion de femmes sécretaires généraux;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;13,70
2013;FEMALE;;;PERCENT;13,70
2014;FEMALE;;;PERCENT;13,70
2015;FEMALE;;;PERCENT;13,70
2016;FEMALE;;;PERCENT;10,60
2017;FEMALE;;;PERCENT;10,60
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;10,60
;;;;;
Proportion de femmes Administrateur directeur général ;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;10,80
2013;FEMALE;;;PERCENT;10,80
2014;FEMALE;;;PERCENT;10,80
2015;FEMALE;;;PERCENT;10,80
2016;FEMALE;;;PERCENT;11,90
2017;FEMALE;;;PERCENT;11,90
2018;FEMALE;;;PERCENT;11,90
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;11,90
;;;;;
Proportion de femmes Administrateur directeur technique ;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;13,50
2013;FEMALE;;;PERCENT;13,50
2014;FEMALE;;;PERCENT;13,50
2015;FEMALE;;;PERCENT;13,50
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;11,90
;;;;;
Proportion de femmes Ministres;;;;;
2010;FEMALE;;;PERCENT;12,12
2011;FEMALE;;;PERCENT;10,47
2012;FEMALE;;;PERCENT;11,54
2013;FEMALE;;;PERCENT;11,54
2014;FEMALE;;;PERCENT;11,54
2015;FEMALE;;;PERCENT;9,38
2016;FEMALE;;;PERCENT;9,38
2017;FEMALE;;;PERCENT;10,20
2018;FEMALE;;;PERCENT;10,20
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;27,00
;;;;;
Proportion de femmes Vice-Ministres;;;;;
2010;FEMALE;;;PERCENT;14,29
2011;FEMALE;;;PERCENT;17,15
2012;FEMALE;;;PERCENT;25,00
2013;FEMALE;;;PERCENT;25,00
2014;FEMALE;;;PERCENT;25,00
2015;FEMALE;;;PERCENT;40,00
2016;FEMALE;;;PERCENT;40,00
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;7,01
;;;;;
Proportion de femmes Parquet près de la cours constitutionnelle ;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;
2013;FEMALE;;;PERCENT;28,50
2014;FEMALE;;;PERCENT;
2015;FEMALE;;;PERCENT;
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;22,20
;;;;;
 Proportion de femmes Cours supreme et parquet général de la République ;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;
2013;FEMALE;;;PERCENT;6,25
2014;FEMALE;;;PERCENT;6,25
2015;FEMALE;;;PERCENT;6,25
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;
;;;;;
 Proportion de femmes Cours d'appel et parquet général ;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;
2013;FEMALE;;;PERCENT;11,90
2014;FEMALE;;;PERCENT;
2015;FEMALE;;;PERCENT;11,97
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;11,00
;;;;;
Proportion de femmes Tribunaux de grande instance et parquet de grande instance;;;;;
2010;FEMALE;;;PERCENT;
2011;FEMALE;;;PERCENT;
2012;FEMALE;;;PERCENT;
2013;FEMALE;;;PERCENT;20,46
2014;FEMALE;;;PERCENT;
2015;FEMALE;;;PERCENT;20,44
2016;FEMALE;;;PERCENT;
2017;FEMALE;;;PERCENT;
2018;FEMALE;;;PERCENT;
2019;FEMALE;;;PERCENT;
2020;FEMALE;;;PERCENT;
