Year,Value,Units
2005,100.0,PERCENT
2005,42.85714,PERCENT
2005,55.05097,PERCENT
2005,37.03704,PERCENT
2005,54.46527,PERCENT
2005,66.08696,PERCENT
2010,39.91597,PERCENT
2010,59.81308,PERCENT
2010,31.81818,PERCENT
2010,55.87544,PERCENT
2010,30.61224,PERCENT
2010,100.0,PERCENT
2015,100.0,PERCENT
2015,14.81481,PERCENT
2015,53.71526,PERCENT
2015,51.42857,PERCENT
2015,56.39098,PERCENT
2015,44.44444,PERCENT
2016,35.02825,PERCENT
2016,45.94595,PERCENT
2016,16.4557,PERCENT
2016,41.93168,PERCENT
2016,5.7971,PERCENT
2016,100.0,PERCENT
2017,100.0,PERCENT
2017,18.47826,PERCENT
2017,44.83062,PERCENT
2017,35.85434,PERCENT
2017,20.53571,PERCENT
2017,49.61966,PERCENT
2018,50.71259,PERCENT
2018,20.53571,PERCENT
2018,37.46479,PERCENT
2018,45.90383,PERCENT
2018,19.56522,PERCENT
2018,100.0,PERCENT
2019,100.0,PERCENT
2019,65.44118,PERCENT
2019,64.61538,PERCENT
2019,67.28302,PERCENT
2019,79.77839,PERCENT
2019,0.0,PERCENT
2019,75.93985,PERCENT
2020,52.46914,PERCENT
2020,0.0,PERCENT
2020,65.0,PERCENT
2020,61.76579,PERCENT
2020,61.37648,PERCENT
2020,66.44737,PERCENT
2020,100.0,PERCENT
