Year,Value,Units
2000,1.32258,PERCENT
2000,17419.403,CUR_LCU_M
2001,6.65715,PERCENT
2001,148551.292,CUR_LCU_M
2002,9.822,PERCENT
2002,297200.978,CUR_LCU_M
2003,12.28801,PERCENT
2003,445225.39,CUR_LCU_M
2004,13.03767,PERCENT
2004,536321.997,CUR_LCU_M
2005,20.09193,PERCENT
2005,1139225.21,CUR_LCU_M
2006,17.97149,PERCENT
2006,1216224.246,CUR_LCU_M
2007,17.61796,PERCENT
2007,1523756.104,CUR_LCU_M
2008,19.1422,PERCENT
2008,2118576.416,CUR_LCU_M
2009,20.75705,PERCENT
2009,3134561.637,CUR_LCU_M
2010,20.65321,PERCENT
2010,4034950.0,CUR_LCU_M
2012,18.87322,PERCENT
2012,5087193.16279,CUR_LCU_M
2013,17.31497,PERCENT
2013,5203352.34785,CUR_LCU_M
2014,16.20437,PERCENT
2014,5383739.49853,CUR_LCU_M
2015,15.43503,PERCENT
2015,5419429.20603,CUR_LCU_M
2016,13.07035,PERCENT
2016,4903654.58929,CUR_LCU_M
2017,9.52259,PERCENT
2017,5301807.12052,CUR_LCU_M
2018,11.11693,PERCENT
2018,8503953.05827,CUR_LCU_M
2019,11.18713,PERCENT
2019,9290725.86871,CUR_LCU_M
