Year,Sex,Age,Location,Quantile,Units,Value
2000,BOTHSEX,15+,,,PERCENT,96.1
2000,BOTHSEX,15-24,,,PERCENT,96.1
2000,BOTHSEX,25+,,,PERCENT,96.1
2000,FEMALE,15+,,,PERCENT,96.3
2000,FEMALE,15-24,,,PERCENT,96.0
2000,FEMALE,25+,,,PERCENT,96.4
2000,MALE,15+,,,PERCENT,95.9
2000,MALE,15-24,,,PERCENT,96.2
2000,MALE,25+,,,PERCENT,95.8
2001,BOTHSEX,15+,,,PERCENT,96.4
2001,BOTHSEX,15-24,,,PERCENT,96.5
2001,BOTHSEX,25+,,,PERCENT,96.4
2001,FEMALE,15+,,,PERCENT,96.6
2001,FEMALE,15-24,,,PERCENT,96.4
2001,FEMALE,25+,,,PERCENT,96.7
2001,MALE,15+,,,PERCENT,96.2
2001,MALE,15-24,,,PERCENT,96.5
2001,MALE,25+,,,PERCENT,96.1
2002,BOTHSEX,15+,,,PERCENT,96.4
2002,BOTHSEX,15-24,,,PERCENT,96.5
2002,BOTHSEX,25+,,,PERCENT,96.4
2002,FEMALE,15+,,,PERCENT,96.7
2002,FEMALE,15-24,,,PERCENT,96.4
2002,FEMALE,25+,,,PERCENT,96.7
2002,MALE,15+,,,PERCENT,96.2
2002,MALE,15-24,,,PERCENT,96.5
2002,MALE,25+,,,PERCENT,96.1
2003,BOTHSEX,15+,,,PERCENT,96.2
2003,BOTHSEX,15-24,,,PERCENT,96.3
2003,BOTHSEX,25+,,,PERCENT,96.2
2003,FEMALE,15+,,,PERCENT,96.5
2003,FEMALE,15-24,,,PERCENT,96.2
2003,FEMALE,25+,,,PERCENT,96.5
2003,MALE,15+,,,PERCENT,96.0
2003,MALE,15-24,,,PERCENT,96.3
2003,MALE,25+,,,PERCENT,95.9
2004,BOTHSEX,ALLAGE,,,PERCENT,94.3
2004,BOTHSEX,15+,,,PERCENT,95.5
2004,BOTHSEX,15-24,,,PERCENT,95.6
2004,BOTHSEX,25+,,,PERCENT,95.5
2004,FEMALE,15+,,,PERCENT,95.8
2004,FEMALE,15-24,,,PERCENT,95.6
2004,FEMALE,25+,,,PERCENT,95.9
2004,MALE,15+,,,PERCENT,95.3
2004,MALE,15-24,,,PERCENT,95.7
2004,MALE,25+,,,PERCENT,95.1
2005,BOTHSEX,15+,,,PERCENT,94.9
2005,BOTHSEX,15-24,,,PERCENT,95.0
2005,BOTHSEX,25+,,,PERCENT,94.9
2005,FEMALE,15+,,,PERCENT,95.2
2005,FEMALE,15-24,,,PERCENT,95.0
2005,FEMALE,25+,,,PERCENT,95.3
2005,MALE,15+,,,PERCENT,94.5
2005,MALE,15-24,,,PERCENT,95.1
2005,MALE,25+,,,PERCENT,94.4
2006,BOTHSEX,15+,,,PERCENT,93.2
2006,BOTHSEX,15-24,,,PERCENT,93.3
2006,BOTHSEX,25+,,,PERCENT,93.1
2006,FEMALE,15+,,,PERCENT,93.6
2006,FEMALE,15-24,,,PERCENT,93.3
2006,FEMALE,25+,,,PERCENT,93.7
2006,MALE,15+,,,PERCENT,92.7
2006,MALE,15-24,,,PERCENT,93.4
2006,MALE,25+,,,PERCENT,92.6
2007,BOTHSEX,15+,,,PERCENT,90.8
2007,BOTHSEX,15-24,,,PERCENT,91.1
2007,BOTHSEX,25+,,,PERCENT,90.7
2007,FEMALE,15+,,,PERCENT,91.4
2007,FEMALE,15-24,,,PERCENT,91.0
2007,FEMALE,25+,,,PERCENT,91.5
2007,MALE,15+,,,PERCENT,90.2
2007,MALE,15-24,,,PERCENT,91.2
2007,MALE,25+,,,PERCENT,90.0
2008,BOTHSEX,15+,,,PERCENT,88.1
2008,BOTHSEX,15-24,,,PERCENT,88.5
2008,BOTHSEX,25+,,,PERCENT,87.9
2008,FEMALE,15+,,,PERCENT,88.7
2008,FEMALE,15-24,,,PERCENT,88.4
2008,FEMALE,25+,,,PERCENT,88.9
2008,MALE,15+,,,PERCENT,87.4
2008,MALE,15-24,,,PERCENT,88.6
2008,MALE,25+,,,PERCENT,87.1
2009,BOTHSEX,15+,,,PERCENT,88.3
2009,BOTHSEX,15-24,,,PERCENT,88.8
2009,BOTHSEX,25+,,,PERCENT,88.2
2009,FEMALE,15+,,,PERCENT,89.0
2009,FEMALE,15-24,,,PERCENT,88.7
2009,FEMALE,25+,,,PERCENT,89.1
2009,MALE,15+,,,PERCENT,87.7
2009,MALE,15-24,,,PERCENT,89.0
2009,MALE,25+,,,PERCENT,87.4
2010,BOTHSEX,15+,,,PERCENT,84.3
2010,BOTHSEX,15-24,,,PERCENT,85.1
2010,BOTHSEX,25+,,,PERCENT,84.2
2010,FEMALE,15+,,,PERCENT,85.2
2010,FEMALE,15-24,,,PERCENT,84.9
2010,FEMALE,25+,,,PERCENT,85.3
2010,MALE,15+,,,PERCENT,83.5
2010,MALE,15-24,,,PERCENT,85.3
2010,MALE,25+,,,PERCENT,83.1
2011,BOTHSEX,15+,,,PERCENT,80.6
2011,BOTHSEX,15-24,,,PERCENT,81.7
2011,BOTHSEX,25+,,,PERCENT,80.4
2011,FEMALE,15+,,,PERCENT,81.6
2011,FEMALE,15-24,,,PERCENT,81.4
2011,FEMALE,25+,,,PERCENT,81.7
2011,MALE,15+,,,PERCENT,79.7
2011,MALE,15-24,,,PERCENT,82.0
2011,MALE,25+,,,PERCENT,79.2
2012,BOTHSEX,ALLAGE,,,PERCENT,77.2
2012,BOTHSEX,15+,,,PERCENT,76.7
2012,BOTHSEX,15-24,,,PERCENT,78.2
2012,BOTHSEX,15-64,ALLAREA,,PERCENT,72.67776
2012,BOTHSEX,25+,,,PERCENT,76.4
2012,BOTHSEX,65+,ALLAREA,,PERCENT,65.94629
2012,BOTHSEX,<15Y,ALLAREA,,PERCENT,82.87534
2012,BOTHSEX,ALLAGE,RURAL,,PERCENT,89.61988
2012,BOTHSEX,ALLAGE,URBAN,,PERCENT,57.25921
2012,FEMALE,15+,,,PERCENT,77.8
2012,FEMALE,15-24,,,PERCENT,77.8
2012,FEMALE,25+,,,PERCENT,77.8
2012,FEMALE,ALLAGE,ALLAREA,,PERCENT,76.8304
2012,MALE,15+,,,PERCENT,75.6
2012,MALE,15-24,,,PERCENT,78.6
2012,MALE,25+,,,PERCENT,75.1
2012,MALE,ALLAGE,ALLAREA,,PERCENT,77.48513
2013,BOTHSEX,15+,,,PERCENT,73.0
2013,BOTHSEX,15-24,,,PERCENT,74.8
2013,BOTHSEX,25+,,,PERCENT,72.5
2013,FEMALE,15+,,,PERCENT,74.2
2013,FEMALE,15-24,,,PERCENT,74.4
2013,FEMALE,25+,,,PERCENT,74.2
2013,MALE,15+,,,PERCENT,71.8
2013,MALE,15-24,,,PERCENT,75.3
2013,MALE,25+,,,PERCENT,71.1
2014,BOTHSEX,15+,,,PERCENT,70.4
2014,BOTHSEX,15-24,,,PERCENT,72.6
2014,BOTHSEX,25+,,,PERCENT,69.9
2014,FEMALE,15+,,,PERCENT,71.7
2014,FEMALE,15-24,,,PERCENT,72.1
2014,FEMALE,25+,,,PERCENT,71.6
2014,MALE,15+,,,PERCENT,69.2
2014,MALE,15-24,,,PERCENT,73.1
2014,MALE,25+,,,PERCENT,68.4
2015,BOTHSEX,15+,,,PERCENT,69.0
2015,BOTHSEX,15-24,,,PERCENT,71.3
2015,BOTHSEX,25+,,,PERCENT,68.5
2015,FEMALE,15+,,,PERCENT,70.4
2015,FEMALE,15-24,,,PERCENT,70.8
2015,FEMALE,25+,,,PERCENT,70.2
2015,MALE,15+,,,PERCENT,67.8
2015,MALE,15-24,,,PERCENT,71.9
2015,MALE,25+,,,PERCENT,66.9
2016,BOTHSEX,15+,,,PERCENT,69.4
2016,BOTHSEX,15-24,,,PERCENT,71.7
2016,BOTHSEX,25+,,,PERCENT,68.9
2016,FEMALE,15+,,,PERCENT,70.8
2016,FEMALE,15-24,,,PERCENT,71.2
2016,FEMALE,25+,,,PERCENT,70.6
2016,MALE,15+,,,PERCENT,68.2
2016,MALE,15-24,,,PERCENT,72.3
2016,MALE,25+,,,PERCENT,67.4
2017,BOTHSEX,15+,,,PERCENT,69.2
2017,BOTHSEX,15-24,,,PERCENT,71.5
2017,BOTHSEX,25+,,,PERCENT,68.6
2017,FEMALE,15+,,,PERCENT,70.5
2017,FEMALE,15-24,,,PERCENT,71.0
2017,FEMALE,25+,,,PERCENT,70.4
2017,MALE,15+,,,PERCENT,67.9
2017,MALE,15-24,,,PERCENT,72.1
2017,MALE,25+,,,PERCENT,67.1
2018,BOTHSEX,15+,,,PERCENT,68.0
2018,BOTHSEX,15-24,,,PERCENT,70.4
2018,BOTHSEX,25+,,,PERCENT,67.4
2018,FEMALE,15+,,,PERCENT,69.4
2018,FEMALE,15-24,,,PERCENT,69.9
2018,FEMALE,25+,,,PERCENT,69.2
2018,MALE,15+,,,PERCENT,66.7
2018,MALE,15-24,,,PERCENT,71.1
2018,MALE,25+,,,PERCENT,65.8
2019,BOTHSEX,15+,,,PERCENT,67.4
2019,BOTHSEX,15-24,,,PERCENT,69.9
2019,BOTHSEX,25+,,,PERCENT,66.8
2019,FEMALE,15+,,,PERCENT,68.8
2019,FEMALE,15-24,,,PERCENT,69.3
2019,FEMALE,25+,,,PERCENT,68.6
2019,MALE,15+,,,PERCENT,66.1
2019,MALE,15-24,,,PERCENT,70.6
2019,MALE,25+,,,PERCENT,65.2
2020,BOTHSEX,15+,,,PERCENT,68.6
2021,BOTHSEX,15+,,,PERCENT,68.8
