Year,Value,Units
2000,25877.65002,KMSQ
2000,0.01141,PERCENT
2000,1869.34599,KMSQ
2000,0.00082,PERCENT
2000,327.43697,KMSQ
2000,0.00014,PERCENT
2000,349.18129,KMSQ
2000,0.00015,PERCENT
2000,274.75,KMSQ
2000,0.0,PERCENT
2000,0.0,KMSQ
2000,0.0,PERCENT
2000,0.0,KMSQ
2000,0.0,PERCENT
2000,274.75,KMSQ
2001,26673.62408,KMSQ
2001,0.01177,PERCENT
2001,2124.53473,KMSQ
2001,0.00094,PERCENT
2001,326.5928,KMSQ
2001,0.00014,PERCENT
2001,350.69124,KMSQ
2001,0.00015,PERCENT
2002,29943.25422,KMSQ
2002,0.01321,PERCENT
2002,2733.94337,KMSQ
2002,0.00121,PERCENT
2002,368.8736,KMSQ
2002,0.00016,PERCENT
2002,397.46299,KMSQ
2002,0.00018,PERCENT
2003,32975.09263,KMSQ
2003,0.01455,PERCENT
2003,3241.45645,KMSQ
2003,0.00143,PERCENT
2003,384.62552,KMSQ
2003,0.00017,PERCENT
2003,417.70148,KMSQ
2003,0.00018,PERCENT
2004,35168.99071,KMSQ
2004,0.01551,PERCENT
2004,3343.57217,KMSQ
2004,0.00147,PERCENT
2004,387.65533,KMSQ
2004,0.00017,PERCENT
2004,417.87875,KMSQ
2004,0.00018,PERCENT
2005,35340.40277,KMSQ
2005,0.01559,PERCENT
2005,3342.87255,KMSQ
2005,0.00147,PERCENT
2005,389.33432,KMSQ
2005,0.00017,PERCENT
2005,424.46036,KMSQ
2005,0.00019,PERCENT
2006,-0.12826,PERCENT
2006,35295.07618,KMSQ
2006,0.01557,PERCENT
2006,0.62844,PERCENT
2006,3363.88063,KMSQ
2006,0.00148,PERCENT
2006,385.16344,KMSQ
2006,0.00017,PERCENT
2006,423.85536,KMSQ
2006,0.00019,PERCENT
2007,-0.45625,PERCENT
2007,35179.16291,KMSQ
2007,0.01552,PERCENT
2007,-2.39945,PERCENT
2007,3262.66214,KMSQ
2007,0.00144,PERCENT
2007,371.45855,KMSQ
2007,0.00016,PERCENT
2007,410.61649,KMSQ
2007,0.00018,PERCENT
2007,274.75,KMSQ
2007,-3.41,PERCENT
2007,2.35,KMSQ
2007,0.86,PERCENT
2007,11.71,KMSQ
2007,4.26,PERCENT
2007,265.38,KMSQ
2008,-0.5537,PERCENT
2008,35144.72199,KMSQ
2008,0.0155,PERCENT
2008,-6.4488,PERCENT
2008,3127.29741,KMSQ
2008,0.00138,PERCENT
2008,358.46144,KMSQ
2008,0.00016,PERCENT
2008,398.74483,KMSQ
2008,0.00018,PERCENT
2008,274.75,KMSQ
2008,-3.31,PERCENT
2008,2.08,KMSQ
2008,0.76,PERCENT
2008,11.17,KMSQ
2008,4.07,PERCENT
2008,265.65,KMSQ
2009,-0.75069,PERCENT
2009,35075.10557,KMSQ
2009,0.01547,PERCENT
2009,-5.78673,PERCENT
2009,3149.42943,KMSQ
2009,0.00139,PERCENT
2009,351.04606,KMSQ
2009,0.00015,PERCENT
2009,391.65689,KMSQ
2009,0.00017,PERCENT
2009,274.75,KMSQ
2009,-3.48,PERCENT
2009,1.8,KMSQ
2009,0.66,PERCENT
2009,11.36,KMSQ
2009,4.14,PERCENT
2009,265.18,KMSQ
2010,-0.1442,PERCENT
2010,35289.44269,KMSQ
2010,0.01557,PERCENT
2010,-1.51436,PERCENT
2010,3292.24936,KMSQ
2010,0.00145,PERCENT
2010,348.51257,KMSQ
2010,0.00015,PERCENT
2010,386.52972,KMSQ
2010,0.00017,PERCENT
2010,274.75,KMSQ
2010,-3.34,PERCENT
2010,2.6,KMSQ
2010,0.94,PERCENT
2010,11.78,KMSQ
2010,4.29,PERCENT
2010,265.56,KMSQ
2011,0.08914,PERCENT
2011,35371.90635,KMSQ
2011,0.0156,PERCENT
2011,3.51596,PERCENT
2011,3460.40657,KMSQ
2011,0.00153,PERCENT
2011,348.59138,KMSQ
2011,0.00015,PERCENT
2011,382.95683,KMSQ
2011,0.00017,PERCENT
2012,0.33308,PERCENT
2012,35458.11363,KMSQ
2012,0.01564,PERCENT
2012,5.4012,PERCENT
2012,3523.42778,KMSQ
2012,0.00155,PERCENT
2012,357.30234,KMSQ
2012,0.00016,PERCENT
2012,389.26187,KMSQ
2012,0.00017,PERCENT
2013,0.38944,PERCENT
2013,35478.03297,KMSQ
2013,0.01565,PERCENT
2013,3.747,PERCENT
2013,3468.13,KMSQ
2013,0.00153,PERCENT
2013,360.10467,KMSQ
2013,0.00016,PERCENT
2013,389.66761,KMSQ
2013,0.00017,PERCENT
2014,0.47818,PERCENT
2014,35509.39176,KMSQ
2014,0.01566,PERCENT
2014,16.02808,PERCENT
2014,3878.67076,KMSQ
2014,0.00171,PERCENT
2014,358.1827,KMSQ
2014,0.00016,PERCENT
2014,390.14155,KMSQ
2014,0.00017,PERCENT
2015,0.30255,PERCENT
2015,35447.32475,KMSQ
2015,0.01564,PERCENT
2015,26.08611,PERCENT
2015,4214.89787,KMSQ
2015,0.00186,PERCENT
2015,355.32217,KMSQ
2015,0.00016,PERCENT
2015,395.10905,KMSQ
2015,0.00017,PERCENT
2015,274.75,KMSQ
2015,-2.86,PERCENT
2015,3.62,KMSQ
2015,1.32,PERCENT
2015,11.47,KMSQ
2015,4.18,PERCENT
2015,266.9,KMSQ
2016,0.23847,PERCENT
2016,35424.67887,KMSQ
2016,0.01563,PERCENT
2016,30.63847,PERCENT
2016,4367.07767,KMSQ
2016,0.00193,PERCENT
2016,350.90666,KMSQ
2016,0.00015,PERCENT
2016,398.41605,KMSQ
2016,0.00018,PERCENT
2016,274.75,KMSQ
2016,-3.45,PERCENT
2016,2.98,KMSQ
2016,1.09,PERCENT
2016,12.45,KMSQ
2016,4.53,PERCENT
2016,265.28,KMSQ
2017,0.14158,PERCENT
2017,35390.43727,KMSQ
2017,0.01561,PERCENT
2017,43.64025,PERCENT
2017,4801.71059,KMSQ
2017,0.00212,PERCENT
2017,54.46394,PERCENT
2017,9.48621,PERCENT
2017,19.39673,PERCENT
2017,16.65312,PERCENT
2017,83.89796,PERCENT
2017,3.2551,PERCENT
2017,4.39232,PERCENT
2017,8.45462,PERCENT
2017,339.71623,KMSQ
2017,0.00015,PERCENT
2017,398.07956,KMSQ
2017,0.00018,PERCENT
2017,235536.63,KMSQ
2017,10.11,PERCENT
2018,0.27431,PERCENT
2018,35437.34412,KMSQ
2018,0.01563,PERCENT
2018,54.13678,PERCENT
2018,5152.59594,KMSQ
2018,0.00227,PERCENT
2018,15.67212,PERCENT
2018,13.96712,PERCENT
2018,5.60049,PERCENT
2018,64.76027,PERCENT
2018,11.60702,PERCENT
2018,5.93556,PERCENT
2018,3.61349,PERCENT
2018,78.84393,PERCENT
2018,333.3543,KMSQ
2018,0.00015,PERCENT
2018,397.91197,KMSQ
2018,0.00018,PERCENT
2019,0.72223,PERCENT
2019,35595.64123,KMSQ
2019,0.0157,PERCENT
2019,53.65181,PERCENT
2019,5136.38422,KMSQ
2019,0.00227,PERCENT
2019,59.54326,PERCENT
2019,6.18263,PERCENT
2019,15.74453,PERCENT
2019,18.52958,PERCENT
2019,84.60687,PERCENT
2019,2.98366,PERCENT
2019,5.29053,PERCENT
2019,7.11894,PERCENT
2019,331.29407,KMSQ
2019,0.00015,PERCENT
2019,396.85457,KMSQ
2019,0.00018,PERCENT
2020,0.89243,PERCENT
2020,35655.7916,KMSQ
2020,0.01573,PERCENT
2020,53.36741,PERCENT
2020,5126.87705,KMSQ
2020,0.00226,PERCENT
2020,17.88192,PERCENT
2020,13.51726,PERCENT
2020,4.04066,PERCENT
2020,64.56016,PERCENT
2020,11.08368,PERCENT
2020,1.20284,PERCENT
2020,5.29254,PERCENT
2020,82.42095,PERCENT
2020,323.09143,KMSQ
2020,0.00014,PERCENT
2020,390.805,KMSQ
2020,0.00017,PERCENT
2021,0.93316,PERCENT
2021,35670.18431,KMSQ
2021,0.01573,PERCENT
2021,59.99825,PERCENT
2021,5348.53758,KMSQ
2021,0.00236,PERCENT
2021,318.9503,KMSQ
2021,0.00014,PERCENT
2021,384.11794,KMSQ
2021,0.00017,PERCENT
