Year,Value,Units
2005,5.0,PERCENT
2005,11.76805,PERCENT
2005,12.21148,PERCENT
2005,16.44574,PERCENT
2005,19.97944,PERCENT
2005,19.85657,PERCENT
2005,11.30556,PERCENT
2005,14.33848,PERCENT
2005,4.52632,PERCENT
2005,10.02931,PERCENT
2005,9.53202,PERCENT
2005,15.72165,PERCENT
2005,19.41641,PERCENT
2005,9.83451,PERCENT
2010,12.45249,PERCENT
2010,11.76308,PERCENT
2010,19.16054,PERCENT
2010,5.0,PERCENT
2010,11.27734,PERCENT
2010,12.26846,PERCENT
2010,17.24118,PERCENT
2010,11.27734,PERCENT
2010,12.26846,PERCENT
2010,12.45249,PERCENT
2010,19.16054,PERCENT
2010,11.76308,PERCENT
2010,5.0,PERCENT
2010,17.24118,PERCENT
2015,5.0,PERCENT
2015,19.99131,PERCENT
2015,11.1272,PERCENT
2015,14.29818,PERCENT
2015,10.42766,PERCENT
2015,10.94108,PERCENT
2015,10.63792,PERCENT
2015,14.29818,PERCENT
2015,11.1272,PERCENT
2015,10.42766,PERCENT
2015,10.63792,PERCENT
2015,10.94108,PERCENT
2015,19.99131,PERCENT
2015,5.0,PERCENT
2020,7.55672,PERCENT
2020,6.64457,PERCENT
2020,7.13471,PERCENT
2020,9.98397,PERCENT
2020,19.7708,PERCENT
2020,14.33197,PERCENT
2020,19.7708,PERCENT
2020,7.55672,PERCENT
2020,6.64457,PERCENT
2020,9.98397,PERCENT
2020,7.13471,PERCENT
2020,14.33197,PERCENT
