Year,Value,Units
2000,32.94,PERCENT
2000,9.91,PERCENT
2000,115.58,CON_USD
2001,28.89,PERCENT
2001,19.81,PERCENT
2001,96.53,CON_USD
2002,29.27,PERCENT
2002,21.22,PERCENT
2002,97.78,CON_USD
2003,26.49,PERCENT
2003,18.3,PERCENT
2003,90.59,CON_USD
2004,25.89,PERCENT
2004,17.64,PERCENT
2004,91.57,CON_USD
2005,24.49,PERCENT
2005,16.4,PERCENT
2005,89.07,CON_USD
2006,22.14,PERCENT
2006,15.47,PERCENT
2006,82.12,CON_USD
2007,22.33,PERCENT
2007,17.01,PERCENT
2007,85.17,CON_USD
2008,21.35,PERCENT
2008,14.92,PERCENT
2008,83.71,CON_USD
2009,18.71,PERCENT
2009,18.88,PERCENT
2009,72.99,CON_USD
2010,16.89,PERCENT
2010,16.22,PERCENT
2010,68.26,CON_USD
2011,16.08,PERCENT
2011,15.36,PERCENT
2011,67.19,CON_USD
2012,15.8,PERCENT
2012,15.36,PERCENT
2012,68.38,CON_USD
2013,16.03,PERCENT
2013,15.39,PERCENT
2013,72.79,CON_USD
2014,16.1,PERCENT
2014,15.55,PERCENT
2014,77.41,CON_USD
2015,17.13,PERCENT
2015,17.13,PERCENT
2015,85.18,CON_USD
2016,18.17,PERCENT
2016,18.92,PERCENT
2016,89.56,CON_USD
2017,17.94,PERCENT
2017,19.67,PERCENT
2017,88.76,CON_USD
2018,16.83,PERCENT
2018,17.84,PERCENT
2018,85.28,CON_USD
2019,17.1,PERCENT
2019,20.01,PERCENT
2019,87.66,CON_USD
2020,15.6,PERCENT
2020,19.17,PERCENT
2020,78.82,CON_USD
2021,15.15,PERCENT
2021,78.49,CON_USD
